,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
2880,8:20:00,Wednesday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2881,8:20:00,Wednesday,Male,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2882,13:31:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2883,13:31:00,Sunday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2884,18:30:00,Tuesday,Male, Industrial areas,Automobile,Unknown,Crossing,Asphalt roads,Dry,Daylight,Normal
2885,1:55:00,Friday,Male, Industrial areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2886,8:50:00,Tuesday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2887,8:50:00,Tuesday,Male, Hospital areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2888,8:59:00,Monday,Male,Office areas,Motorcycle,One way,Unknown,Asphalt roads,Dry,Daylight,Normal
2890,8:20:00,Monday,Male, Hospital areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2891,8:20:00,Monday,Male,Office areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2892,20:15:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2893,20:15:00,Sunday,Male,Office areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2895,17:01:00,Friday,Male,Other,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2896,8:17:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2897,8:17:00,Tuesday,Male,Residential areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2898,8:17:00,Tuesday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2899,17:52:00,Monday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),T Shape,Earth roads,Dry,Daylight,Normal
2900,17:52:00,Monday,Female,Office areas,Taxi,Undivided Two way,T Shape,Asphalt roads,Dry,Daylight,Normal
2901,7:15:00,Tuesday,Male,Office areas,Other,other,Crossing,Asphalt roads,Dry,Daylight,Normal
2902,7:15:00,Tuesday,Female,Other,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Other,Dry,Daylight,Normal
2903,18:46:00,Wednesday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2904,18:46:00,Wednesday,Male, Industrial areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2905,18:46:00,Wednesday,Male,Office areas,Public (13?45 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2906,18:46:00,Wednesday,Male, Church areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2907,18:46:00,Wednesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2908,0:41:00,Friday,Male,Office areas,Lorry (11?40Q),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2909,0:41:00,Friday,Male,Residential areas,Motorcycle,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2910,8:40:00,Monday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2911,8:40:00,Monday,Male,Residential areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2912,7:00:00,Sunday,Male,Office areas,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2913,7:00:00,Sunday,Male,Office areas,Other,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2914,16:15:00,Wednesday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2915,16:15:00,Wednesday,Male,Other,Taxi,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2916,8:35:00,Wednesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2917,8:35:00,Wednesday,Female, Church areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2918,9:40:00,Monday,Male, Church areas,Long lorry,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2919,23:21:00,Tuesday,Female,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2920,12:00:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2921,12:00:00,Saturday,Female,Office areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2922,2:25:00,Tuesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2923,2:25:00,Tuesday,Female, Church areas,Taxi,other,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal
2924,18:40:00,Friday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2925,18:40:00,Friday,Female,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2926,18:50:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2927,18:50:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2929,11:10:00,Wednesday,Male,Residential areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2930,17:45:00,Monday,Female, Church areas,Lorry (11?40Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2931,17:45:00,Monday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2932,13:16:00,Friday,Male,Other,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2933,13:16:00,Friday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2934,7:20:00,Thursday,Male,Office areas,Other,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2935,7:20:00,Thursday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2936,22:20:00,Tuesday,Male,Residential areas,Pick up upto 10Q,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2937,22:20:00,Tuesday,Male,Office areas,Motorcycle,Unknown,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
2939,16:30:00,Friday,Male, Church areas,Pick up upto 10Q,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2941,8:32:00,Sunday,Male,  Recreational areas,Stationwagen,One way,Crossing,Gravel roads,Dry,Daylight,Normal
2942,8:32:00,Sunday,Male,  Market areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2943,18:05:00,Monday,Male,Other,Taxi,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Dry,Daylight,Normal
2944,19:25:00,Thursday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2945,19:25:00,Thursday,Male, Industrial areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2946,8:12:00,Monday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2947,8:12:00,Monday,Female,Office areas,Public (12 seats),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2949,11:28:00,Friday,Female,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2950,11:42:00,Thursday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2951,11:42:00,Thursday,Male,Other,Other,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2952,15:00:00,Thursday,Male,Other,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2953,15:00:00,Thursday,Male,Other,Long lorry,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2954,16:30:00,Tuesday,Male,Other,Lorry (11?40Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2955,19:08:00,Monday,Male,Residential areas,Long lorry,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2956,19:08:00,Monday,Male, Church areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
2957,11:33:00,Monday,Male,Office areas,Taxi,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2958,11:33:00,Monday,Male, Church areas,Taxi,other,No junction,Asphalt roads,Dry,Daylight,Normal
2959,21:37:00,Tuesday,Male,Other,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2961,8:37:00,Thursday,Male,School areas,Lorry (11?40Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
2962,14:19:00,Wednesday,Male,Office areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2963,1:40:00,Saturday,Male,Other,Turbo,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2964,1:40:00,Saturday,Female,Office areas,Long lorry,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2965,1:40:00,Saturday,Male,Other,Long lorry,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2966,19:55:00,Sunday,Male,Other,Public (13?45 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2967,19:55:00,Sunday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
2968,7:08:00,Thursday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
2969,7:08:00,Thursday,Male, Church areas,Pick up upto 10Q,other,Crossing,Asphalt roads,Dry,Daylight,Normal
2971,9:50:00,Friday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2973,1:00:00,Friday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2974,19:00:00,Friday,Male,Residential areas,Automobile,Undivided Two way,Unknown,Asphalt roads,Dry,Daylight,Normal
2976,9:40:00,Thursday,Male,Other,Public (13?45 seats),other,No junction,Asphalt roads,Dry,Daylight,Unknown
2978,16:05:00,Saturday,Male,School areas,Lorry (11?40Q),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
2979,16:05:00,Saturday,Male,Other,Lorry (11?40Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2980,9:55:00,Wednesday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2981,9:55:00,Wednesday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2983,20:20:00,Saturday,Female,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
2984,12:15:00,Wednesday,Male,Residential areas,Long lorry,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2985,12:15:00,Wednesday,Male,Office areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2986,16:50:00,Friday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2987,19:28:00,Wednesday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2989,6:08:00,Tuesday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2990,6:08:00,Tuesday,Male,Office areas,Special vehicle,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
2991,17:10:00,Sunday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2992,17:10:00,Thursday,Male,Office areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
2993,17:10:00,Thursday,Male,Other,Lorry (11?40Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
2994,17:16:00,Monday,Male,Residential areas,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
2995,17:16:00,Monday,Male, Church areas,Motorcycle,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
2996,12:00:00,Thursday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
2997,17:25:00,Tuesday,Male,  Recreational areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
2999,19:37:00,Thursday,Male, Industrial areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3001,8:28:00,Wednesday,Male,Other,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
3002,23:52:00,Tuesday,Male, Church areas,Public (> 45 seats),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3003,20:20:00,Friday,Male, Church areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3004,20:20:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
3005,22:10:00,Monday,Male,Other,Bicycle,One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3006,22:10:00,Monday,Male,  Recreational areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3007,3:00:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
3008,3:00:00,Saturday,Male,Office areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
3009,3:00:00,Saturday,Male, Church areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
3010,3:00:00,Saturday,Male,Office areas,Special vehicle,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
3011,8:02:00,Sunday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3012,8:02:00,Sunday,Male,Other,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3014,8:40:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
3015,13:10:00,Monday,Male,Residential areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
3016,14:30:00,Saturday,Male,Residential areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
3017,14:30:00,Saturday,Male,Other,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
3018,11:29:00,Thursday,Male, Hospital areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3019,11:29:00,Thursday,Male,Other,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3020,0:10:00,Saturday,Male,Other,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3021,0:10:00,Saturday,Male,  Recreational areas,Automobile,One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3022,6:15:00,Wednesday,Male,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3023,16:24:00,Wednesday,Male,Other,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3024,16:24:00,Wednesday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3026,8:30:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
3027,8:30:00,Friday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
3028,23:25:00,Wednesday,Female,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
3029,10:55:00,Sunday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
3030,7:36:00,Monday,Male, Church areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
3032,8:50:00,Monday,Female,School areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Daylight,Normal
3033,9:00:00,Tuesday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
3034,9:00:00,Tuesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
3035,9:00:00,Monday,Male,Residential areas,Pick up upto 10Q,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
3036,9:00:00,Monday,Male, Industrial areas,Pick up upto 10Q,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3037,10:30:00,Wednesday,Male,Other,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3038,10:30:00,Wednesday,Male,Residential areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3040,8:47:00,Thursday,Male,Office areas,Automobile,other,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
3041,4:28:00,Tuesday,Male, Outside rural areas,Motorcycle,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
3042,4:28:00,Tuesday,Male, Outside rural areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
3043,8:05:00,Thursday,Male, Outside rural areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
3044,8:05:00,Thursday,Male, Outside rural areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
